"Season","Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"2011","Jon Jay","Cardinals","503","5.6 %","16.1 %","0.35",".297",".344",".424",".768",".127","3.4",".340","2.3","-2.0","65","8.7",".338","115","5227"
"2006","Kenji Johjima","Mariners","542","3.7 %","8.5 %","0.43",".291",".332",".451",".783",".160","2.8",".290","-4.6","0.0","71","2.9",".338","105","5811"
"2011","Starlin Castro","Cubs","715","4.9 %","13.4 %","0.36",".307",".341",".432",".773",".125","6.3",".344","0.5","0.2","93","12.3",".338","109","4579"
"2010","Johnny Damon","Tigers","613","11.3 %","14.7 %","0.77",".271",".355",".401",".756",".130","5.7",".312","5.4","1.3","79","8.1",".338","107","185"
"2006","Xavier Nady","- - -","512","5.9 %","16.6 %","0.35",".280",".337",".453",".790",".173","2.7",".311","0.2","-0.9","67","2.7",".338","102","1658"
"2003","Randy Winn","Mariners","660","6.2 %","16.4 %","0.38",".295",".346",".425",".771",".130","6.6",".342","3.2","2.3","86","5.4",".338","109","1235"
"2000","Randy Velarde","Athletics","546","9.9 %","17.4 %","0.57",".278",".354",".400",".754",".122","4.0",".325"," ","0.5","70","-1.6",".337","97","942"
"2007","Jhonny Peralta","Indians","647","9.4 %","22.6 %","0.42",".270",".341",".430",".771",".160","3.1",".324","-2.7","-1.5","83","3.4",".337","105","1738"
"2010","Dexter Fowler","Rockies","505","11.3 %","20.6 %","0.55",".260",".347",".410",".757",".150","6.7",".328","2.2","-1.0","65","6.6",".337","94","4062"
"2004","Ryan Freel","Reds","592","11.3 %","14.9 %","0.76",".277",".375",".368",".743",".091","7.4",".331","1.6","2.9","77","3.5",".337","99","1207"
"2002","Jose Valentin","White Sox","527","8.2 %","18.8 %","0.43",".249",".311",".479",".790",".230","4.1",".262","0.8","-0.7","68","4.9",".337","102","256"
"2003","Aaron Boone","- - -","656","7.0 %","15.9 %","0.44",".267",".327",".453",".780",".186","6.2",".288","-1.0","3.2","86","5.2",".337","102","311"
"2001","Paul O'Neill","Yankees","563","8.5 %","10.5 %","0.81",".267",".330",".459",".789",".192","5.5",".266"," ","3.1","75","4.7",".337","107","1009818"
"2003","Craig Biggio","Astros","717","7.9 %","16.2 %","0.49",".264",".350",".412",".763",".148","4.6",".303","1.2","-0.2","93","5.6",".337","100","549"
"2006","Eric Byrnes","Diamondbacks","606","5.6 %","14.5 %","0.39",".267",".313",".482",".795",".215","6.3",".275","0.5","3.5","79","2.9",".337","95","905"
"2004","Chone Figgins","Angels","638","7.7 %","14.7 %","0.52",".296",".350",".419",".770",".123","7.4",".346","4.1","1.0","83","3.6",".337","105","1580"
"2009","Ryan Ludwick","Cardinals","542","7.6 %","19.6 %","0.39",".265",".329",".447",".775",".181","3.1",".296","4.1","-0.4","69","3.7",".337","106","1260"
"2001","Carlos Lee","White Sox","605","6.3 %","14.0 %","0.45",".269",".321",".468",".789",".199","5.1",".279"," ","0.3","80","5.0",".337","104","243"
"2007","Jose Reyes","Mets","765","10.1 %","10.2 %","0.99",".280",".354",".421",".775",".141","8.5",".302","2.7","5.9","98","3.7",".337","101","1736"
